title_id,title_name,image,category,first_played_date_time,last_played_date_time,play_count,play_duration
PPSA08338_00,Marvel's Spider-Man 2,https://image.api.playstation.com/vulcan/ap/rnd/202306/1219/1c7b75d8ed9271516546560d219ad0b22ee0a263b4537bd8.png,PlatformCategory.PS5,2023-12-27 13:27:08.090000+00:00,2024-01-17 14:26:06.090000+00:00,15,1 days 04:37:17
PPSA07950_00,Call of Duty®,https://image.api.playstation.com/vulcan/ap/rnd/202308/1623/ba00d855b4f9061f4f7c294506753f58bf33ac28453a8de4.png,PlatformCategory.PS5,2022-10-28 13:25:50.100000+00:00,2024-01-16 23:17:43.570000+00:00,234,7 days 10:28:48
PPSA03176_00,FIFA 22,https://image.api.playstation.com/vulcan/img/rnd/202109/2115/5jeuJiXUpb1bZc0Lp1U8N5Ka.png,PlatformCategory.PS5,2022-05-13 16:15:21.140000+00:00,2023-12-08 13:26:56.840000+00:00,53,1 days 07:23:23
CUSA07399_00,Crash Bandicoot N. Sane Trilogy,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA07399_00/1/i_ad1b44b4dafe727193cf9003f7557081aa563f3f4198901dbb12592956003ec8/i/icon0.png,PlatformCategory.PS4,2022-10-10 18:26:38.310000+00:00,2023-02-19 17:49:35.980000+00:00,4,0 days 01:26:57
PPSA01465_00,Battlefield™ 2042,https://image.api.playstation.com/vulcan/ap/rnd/202106/0117/I558OkMNBieAq24dzWwjjE4K.png,PlatformCategory.PS5,2021-12-25 20:57:00.090000+00:00,2022-10-25 19:52:29.380000+00:00,103,3 days 06:12:18
PPSA09263_00,Call of Duty®,https://image.api.playstation.com/vulcan/ap/rnd/202308/1623/ba00d855b4f9061f4f7c294506753f58bf33ac28453a8de4.png,PlatformCategory.PS5,2022-09-17 14:14:26.010000+00:00,2022-09-27 18:50:17.850000+00:00,18,0 days 08:12:08
PPSA02696_00,F1® 2021,https://image.api.playstation.com/vulcan/img/rnd/202105/1416/S6JkHc7R2AZWAuXor9VNlkCK.png,PlatformCategory.PS5,2021-12-23 17:33:23.480000+00:00,2022-07-15 12:05:02.950000+00:00,54,1 days 22:55:24
PPSA01721_00,Grand Theft Auto V (PlayStation®5),https://image.api.playstation.com/vulcan/ap/rnd/202202/2816/K6mmm89oNII1iI1aqaClO0wh.png,PlatformCategory.PS5,2022-05-12 19:52:43.650000+00:00,2022-05-16 21:24:45.670000+00:00,2,0 days 02:38:39
CUSA15277_00,Call of Duty®: Modern Warfare®,https://image.api.playstation.com/vulcan/ap/rnd/202212/1917/OS18LBxAVpQ1iPeGWAqSnxem.png,PlatformCategory.PS4,2019-12-24 22:03:41.600000+00:00,2021-12-23 18:30:18.850000+00:00,517,13 days 21:45:13
CUSA29092_00,Call of Duty®: Vanguard,https://image.api.playstation.com/vulcan/ap/rnd/202208/2402/icByXGm1W5mQmol84yMxEgD2.png,PlatformCategory.PS4,2021-11-19 20:17:18.580000+00:00,2021-11-21 14:02:42.450000+00:00,5,0 days 04:16:25
PPSA04298_00,Battlefield™ 2042,https://image.api.playstation.com/vulcan/ap/rnd/202106/0117/I558OkMNBieAq24dzWwjjE4K.png,PlatformCategory.PS5,2021-10-09 20:06:58.520000+00:00,2021-10-10 16:06:37.180000+00:00,1,0 days 01:59:12
PPSA04217_00,Call of Duty®: Vanguard,https://image.api.playstation.com/vulcan/ap/rnd/202208/2402/icByXGm1W5mQmol84yMxEgD2.png,PlatformCategory.PS5,2021-08-27 14:44:53.250000+00:00,2021-10-09 18:23:26.670000+00:00,4,0 days 01:52:13
PPSA01325_00,ASTRO's PLAYROOM,https://image.api.playstation.com/vulcan/ap/rnd/202010/2012/T3h5aafdjR8k7GJAG82832De.png,PlatformCategory.PS5,2021-01-24 15:36:44.510000+00:00,2021-07-17 21:38:03.240000+00:00,4,0 days 04:22:26
PPSA01488_00,Watch Dogs: Legion,https://image.api.playstation.com/vulcan/ap/rnd/202007/0200/ohDfr1TcylLqbwva38ONyLHO.png,PlatformCategory.PS5,2021-01-26 12:36:46.050000+00:00,2021-04-12 11:02:22.620000+00:00,3,0 days 00:36:18
CUSA13034_00,Watch Dogs: Legion,https://image.api.playstation.com/vulcan/ap/rnd/202007/0200/ohDfr1TcylLqbwva38ONyLHO.png,PlatformCategory.UNKNOWN,2020-12-24 23:41:40.800000+00:00,2021-01-23 17:19:33.980000+00:00,15,0 days 11:30:10
CUSA05986_00,Need for Speed™ Payback,https://image.api.playstation.com/vulcan/ap/rnd/202210/3122/P3Apt9Q4oXtXArsrnl0R6XTh.png,PlatformCategory.UNKNOWN,2020-10-16 13:44:56.940000+00:00,2021-01-22 13:00:41.520000+00:00,15,0 days 06:20:22
CUSA15545_00,FIFA 20,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA15545_00/5/i_f0884483a8e433de9dacbbd95ac58e02c18b95d9bd95e622866d9320cd1bb467/i/icon0_01.png,PlatformCategory.PS4,2019-09-30 19:14:40.720000+00:00,2021-01-22 12:13:48.190000+00:00,32,0 days 21:19:59
CUSA20073_00,Call of Duty®: Black Ops Cold War,https://image.api.playstation.com/vulcan/ap/rnd/202112/0618/cFLNC3xYfEdDl7D1Wvu4MVb1.png,PlatformCategory.PS4,2020-09-17 22:28:38.040000+00:00,2020-10-11 10:01:36.950000+00:00,13,0 days 02:26:44
CUSA14085_00,PUBG: BATTLEGROUNDS,https://image.api.playstation.com/vulcan/ap/rnd/202312/1402/ada609849edb9800c5d7edcbdb8d5d871a1122e0d0af57c1.png,PlatformCategory.PS4,2020-09-01 16:05:46.140000+00:00,2020-09-30 16:30:00.670000+00:00,3,0 days 00:07:56
